Source,Target,artistName,trackName,msPlayed,endTime
Rock Argentino,6. Sábado,Luis Alberto Spinetta,Viento del Azur,20774,2026-06-06 20:41:00
Indie Rock,6. Sábado,El Mató a un Policía Motorizado,Escupíme,181920,2026-06-06 20:47:00
Rock Argentino,6. Sábado,Babasonicos,Tormento,45789,2026-06-06 20:48:00
Indie Rock,6. Sábado,Mac DeMarco,My Kind of Woman,190846,2026-06-06 20:51:00
Indie Rock,6. Sábado,Mac DeMarco,Still Beating,181587,2026-06-06 21:05:00
Rock Argentino,6. Sábado,Pescado Rabioso,Dulce 3 Nocturno,600,2026-06-06 21:23:00
Indie Rock,6. Sábado,Perras on the beach,Puchos,73400,2026-06-06 23:20:00
Rock Argentino,7. Domingo,Fito Paez,Las Fuerzas Armadas del Amor,9,2026-06-07 01:54:00
Rock Argentino,7. Domingo,Las Pelotas,Sin la Piel,3915,2026-06-07 01:55:00
Rock Argentino,7. Domingo,Patricio Rey y sus Redonditos de Ricota,Blues de la Libertad,4200,2026-06-07 02:05:00
Indie Rock,7. Domingo,Arcade Fire,Age of Anxiety II (Rabbit Hole),8402,2026-06-07 11:10:00
Indie Rock,1. Lunes,Usted Señalemelo,"Puedo Morir, Puedo Caer",76,2026-06-08 11:10:00
Indie Rock,1. Lunes,Perras on the beach,Puchos,231295,2026-06-08 20:56:00
Rock Argentino,1. Lunes,Indio Solari,Black Russian,9235,2026-06-08 21:01:00
Rock Argentino,1. Lunes,Patricio Rey y sus Redonditos de Ricota,Blues de la Libertad,300960,2026-06-08 21:01:00
Rock Argentino,1. Lunes,Patricio Rey y sus Redonditos de Ricota,Blues de la Libertad,18973,2026-06-08 21:01:00
Urbano Latino,1. Lunes,Dillom,Cirugía,12427,2026-06-08 21:01:00
Rock Argentino,1. Lunes,Indio Solari,Black Russian,259000,2026-06-08 21:11:00
Rock Argentino,1. Lunes,Babasonicos,Lajotape,251760,2026-06-08 21:15:00
Indie Rock,1. Lunes,Suarez,Un Rayo de Sol,294307,2026-06-08 21:25:00
Indie Rock,1. Lunes,Rosario Bléfari,Estaciones,34519,2026-06-08 21:46:00
Indie Pop,1. Lunes,Cupido,Ouch :_(,17625,2026-06-08 22:18:00
Rock Argentino,1. Lunes,Patricio Rey y sus Redonditos de Ricota,Blues de la Libertad,25320,2026-06-08 22:19:00
Rock Argentino,1. Lunes,Indio Solari,Black Russian,12800,2026-06-08 22:37:00
Indie Rock,1. Lunes,Reina Momo,Mi Genio Amor,4084,2026-06-08 22:37:00
Indie Pop,1. Lunes,Cupido,Ouch :_(,0,2026-06-08 22:37:00
Indie Pop,1. Lunes,Cupido,Ouch :_(,480,2026-06-08 22:37:00
Rock Argentino,1. Lunes,Patricio Rey y sus Redonditos de Ricota,Blues de la Libertad,300960,2026-06-08 22:43:00
Rock Argentino,1. Lunes,Patricio Rey y sus Redonditos de Ricota,Nuotatori Professionisti,281560,2026-06-08 22:47:00
Rock Argentino,1. Lunes,Indio Solari,To Beef Or Not To Beef,279480,2026-06-08 22:52:00
Rock Argentino,1. Lunes,Patricio Rey y sus Redonditos de Ricota,La Pequeña Novia del Carioca,290627,2026-06-08 23:09:00
Rock Argentino,1. Lunes,Los Piojos,Te Diría,316773,2026-06-08 23:14:00
Rock Argentino,1. Lunes,Indio Solari,Bebamos de las Copas Lindas,246053,2026-06-08 23:18:00
Rock Argentino,1. Lunes,Bersuit Vergarabat,El Tiempo No Para - Live In Buenos Aires / 2001,321640,2026-06-08 23:28:00
Rock Argentino,1. Lunes,Patricio Rey y sus Redonditos de Ricota,Ella Debe Estar Tan Linda,241307,2026-06-08 23:32:00
Rock Argentino,1. Lunes,Indio Solari,Ramas Desnudas,294427,2026-06-08 23:49:00
Rock Argentino,1. Lunes,Patricio Rey y sus Redonditos de Ricota,El Templo de Momo,201960,2026-06-08 23:56:00
Rock Argentino,2. Martes,Sumo,Teléfonos / White Trash,527000,2026-06-09 00:05:00
